STATE,DISTRICT,BLOCK,PANCHAYAT,ONT LOCATION NAME,LOCATION CODE
CHHATTISGARH,RAIPUR,ABHANPUR,ALEKHUNTA,ALEKHUNTA,CG-RPU-ABH-128566
CHHATTISGARH,RAIPUR,ABHANPUR,AMNER,AMNER,CG-RPU-ABH-128568
CHHATTISGARH,RAIPUR,ABHANPUR,BELAR,BELAR,CG-RPU-ABH-128570
CHHATTISGARH,RAIPUR,ABHANPUR,BENDRI,BENDRI,CG-RPU-ABH-128571
CHHATTISGARH,RAIPUR,ABHANPUR,BHARENGA,BHARENGA,CG-RPU-ABH-128572
CHHATTISGARH,RAIPUR,ABHANPUR,BHATHAPARA(BE),BHATHAPARA(BE),CG-RPU-ABH-128574
CHHATTISGARH,RAIPUR,ABHANPUR,BHOTHIDIH,BHOTHIDIH,CG-RPU-ABH-128576
CHHATTISGARH,RAIPUR,ABHANPUR,BHURKA,BHURKA,CG-RPU-ABH-128577
CHHATTISGARH,RAIPUR,ABHANPUR,BIRODA,BIRODA,CG-RPU-ABH-128578
CHHATTISGARH,RAIPUR,ABHANPUR,CHHANTA,CHHANTA,CG-RPU-ABH-128583
CHHATTISGARH,RAIPUR,ABHANPUR,DADARJHORI,DADARJHORI,CG-RPU-ABH-128584
